flying_misn_plan_id,work_plan_id,envr_lkot_job_id,wp_spot_id,flying_strt_dt,flying_end_dt,tot_flying_dstc,tot_flying_hh,work_stts_dvsn,arpln_id,arpln_cours_id,misn_reg_dt,misn_dvsn,flying_misn_dvsn,flying_plan_strt_dt,flying_plan_end_dt,plan_stts_cd,path_asgn_styl_dvsn,high,tot_dstc,pert_plan_hh,flying_misn_cmpl_yn,area_cd,opertr_id,memo,flying_date,flying_dvsn,job_dvsn,envr_work_stts_cd,wp_spot_target
MP2025111321,FP2025111321,EP20251113021,251113-Drone14_video,2025-11-13 16:16:11.171,2025-11-13 16:16:11.171,0,0,PLAN_APPLY,OC230101,"",2025-11-13 16:16:15.862,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111320,FP2025111320,EP20251113020,251113-Drone13_video,2025-11-13 16:15:58.369,2025-11-13 16:15:58.369,0,0,PLAN_APPLY,OC230101,"",2025-11-13 16:16:04.053,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111319,FP2025111319,EP20251113019,251113-Drone12_video,2025-11-13 16:15:41.739,2025-11-13 16:15:41.739,24.969999313354492,8.369999885559082,PLAN_APPLY,OC230101,"",2025-11-13 16:15:49.09,"","",,,PLAN_APPLY,"",,24.969999313354492,8.369999885559082,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111318,FP2025111318,EP20251113018,251113-Drone11_video,2025-11-13 16:15:21.325,2025-11-13 16:15:21.325,24.200000762939453,8.170000076293945,PLAN_APPLY,OC230101,"",2025-11-13 16:15:32.452,"","",,,PLAN_APPLY,"",,24.200000762939453,8.170000076293945,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111317,FP2025111317,EP20251113017,251113-Drone10_video,2025-11-13 16:15:05.536,2025-11-13 16:15:05.536,19.540000915527344,6.570000171661377,PLAN_APPLY,OC230101,"",2025-11-13 16:15:13.219,"","",,,PLAN_APPLY,"",,19.540000915527344,6.570000171661377,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111316,FP2025111316,EP20251113016,251113-Drone9_video,2025-11-13 16:14:32.305,2025-11-13 16:14:32.305,0,0,PLAN_APPLY,OC230101,"",2025-11-13 16:14:57.115,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111315,FP2025111315,EP20251113015,251113-Drone53_Final,2025-11-13 14:26:52.745,2025-11-13 14:26:52.745,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:26:56.845,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111314,FP2025111314,EP20251113014,251113-Drone52_Final,2025-11-13 14:26:38.641,2025-11-13 14:26:38.641,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:26:43.92,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111313,FP2025111313,EP20251113013,251113-Drone51_Final,2025-11-13 14:26:23.714,2025-11-13 14:26:23.714,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:26:30.009,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111312,FP2025111312,EP20251113012,251113-Drone53_Last,2025-11-13 14:17:50.032,2025-11-13 14:17:50.032,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:17:54.189,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111311,FP2025111311,EP20251113011,251113-Drone52_Last,2025-11-13 14:17:37.663,2025-11-13 14:17:37.663,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:17:42.008,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111310,FP2025111310,EP20251113010,251113-Drone51_Last,2025-11-13 14:17:22.268,2025-11-13 14:17:22.268,0,0,PLAN_APPLY,OC230101,"",2025-11-13 14:17:29.982,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111309,FP2025111309,EP20251113009,251113-Drone53,2025-11-13 11:38:57.244,2025-11-13 11:38:57.244,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:39:02.72,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111308,FP2025111308,EP20251113008,251113-Drone52,2025-11-13 11:38:44.082,2025-11-13 11:38:44.082,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:38:48.51,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111307,FP2025111307,EP20251113007,251113-Drone51,2025-11-13 11:38:29.887,2025-11-13 11:38:29.887,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:38:34.225,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111306,FP2025111306,EP20251113006,251113-Drone14_Daebudo,2025-11-13 11:10:48.954,2025-11-13 11:10:48.954,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:10:54.562,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111305,FP2025111305,EP20251113005,251113-Drone13_Daebudo,2025-11-13 11:10:30.05,2025-11-13 11:10:30.05,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:10:34.676,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111304,FP2025111304,EP20251113004,251113-Drone12_Daebudo,2025-11-13 11:10:03.573,2025-11-13 11:10:03.573,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:10:13.876,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062002,"",,REGULATION,UNTREATED,"",AIR
MP2025111303,FP2025111303,EP20251113003,251113-Drone11_Daebudo,2025-11-13 11:09:47.598,2025-11-13 11:09:47.598,0,0,PLAN_APPLY,OC230101,"",2025-11-13 11:09:55.512,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111302,FP2025111302,EP20251113002,251113-Drone10_Daebudo,2025-11-13 11:09:21.284,2025-11-13 11:09:21.284,0,0,PLAN_APPLY,HE230102,"",2025-11-13 11:09:26.9,"","",,,PLAN_APPLY,"",,0,0,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
MP2025111301,FP2025111301,EP20251113001,251113-Drone9_Daebudo,2025-11-13 11:08:45.979,2025-11-13 11:08:45.979,47.2599983215332,15.800000190734863,PLAN_APPLY,RO231100,"",2025-11-13 11:09:08.986,"","",,,PLAN_APPLY,"",,47.2599983215332,15.800000190734863,"","",OP2019062000,"",,REGULATION,UNTREATED,"",AIR
