wp_count,total_distance_m,avg_distance_m,max_distance_m,avg_bearing_change,max_bearing_change,avg_altitude_m,start_lat,start_lng,end_lat,end_lng,centroid_lat,centroid_lng,route_id,start_place,end_place,centroid_place
16,3356.16,223.74,401.69,90.0,152.89,100.0,34.58652114868164,127.18859100341795,34.58473587036133,127.19424438476562,34.585139,127.19142,200607-AT4,대한민국 전라남도 고흥군 도덕면,대한민국 전라남도 고흥군 우주항공로,대한민국 전라남도 고흥군 우주항공로
16,3625.8,241.72,624.39,90.0,138.38,500.0,36.57685089111328,127.7843017578125,36.5772590637207,127.79154205322266,36.576754,127.787921,200610-dna-serial1,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 속리산로
15,8999.94,642.85,1406.37,95.69,171.94,440.0,36.58464050292969,127.79016876220705,36.59088134765625,127.81229400634766,36.589132,127.800592,200610-dna-serial8,대한민국 충청북도 보은군 속리산로,대한민국 경상북도 상주시 운흥1길,대한민국 경상북도 상주시 속리산로
16,8595.1,573.01,1096.29,90.0,134.77,460.0,36.55370330810547,127.78331756591795,36.55754470825195,127.80119323730467,36.554297,127.792343,200610-dna-serial9,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 부수동길,대한민국 충청북도 보은군 부수동길
24,9765.1,424.57,678.72,90.01,91.49,300.0,36.57612991333008,127.79362487792967,36.56441116333008,127.78272247314452,36.572149,127.78518,200612-DNA-SWARM-1,대한민국 충청북도 보은군 산외면,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 속리산로
26,11109.54,444.38,718.21,90.0,90.87,300.0,36.584476470947266,127.7917251586914,36.59321975708008,127.81006622314452,36.588848,127.800893,200612-DNA-SWARM-10,대한민국 충청북도 보은군 속리산로,대한민국 경상북도 상주시 속리산로,대한민국 경상북도 상주시 속리산로
28,10507.25,389.16,620.79,90.0,92.88,300.0,36.571754455566406,127.80052185058594,36.55818939208984,127.78718566894533,36.566433,127.791529,200612-DNA-SWARM-2,대한민국 충청북도 보은군 산외면,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 산외면
30,9901.54,341.43,522.29,90.02,91.85,300.0,36.567909240722656,127.80618286132812,36.555789947509766,127.78785705566406,36.56185,127.79702,200612-DNA-SWARM-3,대한민국 충청북도 보은군 산외면,대한민국 충청북도 보은군 속리산로,대한민국 충청북도 보은군 속리산면
30,9902.75,341.47,522.31,90.02,91.73,300.0,36.564247131347656,127.81170654296876,36.552127838134766,127.79338073730467,36.558188,127.802544,200612-DNA-SWARM-4,대한민국 충청북도 보은군 산외면,대한민국 충청북도 보은군 부수동길,대한민국 충청북도 보은군 부수동길
28,10510.51,389.28,620.89,90.01,92.86,300.0,36.55982208251953,127.81917572021484,36.5462532043457,127.80584716796876,36.5545,127.810181,200612-DNA-SWARM-5,대한민국 충청북도 보은군 속리산면,대한민국 충청북도 보은군 부수동길,대한민국 충청북도 보은군 부수동길
28,11799.19,437.01,705.81,90.0,90.56,300.0,36.56818389892578,127.8175811767578,36.58171081542969,127.83097076416016,36.572993,127.827389,200612-DNA-SWARM-6,대한민국 충청북도 보은군 산외면,대한민국 경상북도 상주시 화북면,대한민국 경상북도 상주시 화북면
26,8308.98,332.36,503.11,90.0,90.56,300.0,36.572357177734375,127.81214904785156,36.582218170166016,127.82869720458984,36.577288,127.820422,200612-DNA-SWARM-7,대한민국 충청북도 보은군 산외면,대한민국 경상북도 상주시 화북면,대한민국 경상북도 상주시 화북면
26,8309.42,332.38,503.1,89.99,90.56,300.0,36.57589340209961,127.8064422607422,36.58575820922851,127.82299041748048,36.580826,127.814715,200612-DNA-SWARM-8,대한민국 충청북도 보은군 산외면,대한민국 경상북도 상주시 화북면,대한민국 경상북도 상주시 화북면
28,11153.39,413.09,659.53,90.0,90.47,300.0,36.57968521118164,127.79924774169922,36.59335708618164,127.81241607666016,36.584697,127.808742,200612-DNA-SWARM-9,대한민국 충청북도 보은군 산외면,대한민국 경상북도 상주시 속리산로,대한민국 경상북도 상주시 화북면
7,16034.3,2672.38,3017.2,61.16,67.72,400.0,36.55923843383789,127.82637786865234,36.55923843383789,127.82637786865234,36.570304,127.807365,200612-DNA-SWARMLg,대한민국 충청북도 보은군 속리산면,대한민국 충청북도 보은군 속리산면,대한민국 충청북도 보은군 산외면
