cluster,count,pct,score_mean,score_std,score_min,score_max,score_p95,threshold,n_detected
-1,986,49.3,0.32725102284804786,0.20532842997577616,0.06127999936097628,1.0,0.7586748739889994,0.7586748739889994,50
0,12,0.6,0.6235761766117999,0.05194831109453701,0.5245329825428572,0.6797579231859325,0.6793617876898703,0.6793617876898703,1
1,15,0.75,0.5179026439033457,0.052299665887008205,0.4346235261549577,0.6334701781983281,0.5966923701350243,0.5966923701350243,1
2,10,0.5,0.1986867670535638,0.027917684203941504,0.1556131451645322,0.2560994897897648,0.24613307964786163,0.24613307964786163,1
3,122,6.1,0.10943913080621133,0.0293434690337035,0.0431790886939913,0.1942515009562382,0.16351353380111036,0.16351353380111036,7
4,31,1.55,0.09797642046709933,0.02566734318092181,0.041246390742612854,0.14920805929316489,0.1412928770873052,0.1412928770873052,2
5,309,15.45,0.08668939158905112,0.040206529709036556,0.027363859012546374,0.22817794781563694,0.16363088673447765,0.16363088673447765,16
6,66,3.3000000000000003,0.20067813680572813,0.02870236011944094,0.15747934631461172,0.2927808386086803,0.2500212818266508,0.2500212818266508,4
7,59,2.9499999999999997,0.11072329987371514,0.02578363230122499,0.07091945144130578,0.17678202235281942,0.15912197398937225,0.15912197398937225,3
8,287,14.35,0.07320867627058268,0.03493880282572185,0.01172896646707903,0.21483923895416257,0.1409202472062483,0.1409202472062483,15
9,103,5.1499999999999995,0.14744504509221126,0.05097647210544467,0.04869965141750786,0.2743965020202236,0.2437569071975772,0.2437569071975772,6
