cluster,count,pct,score_mean,score_std,score_min,score_max,score_p95,threshold,n_detected
-1,1061,53.05,0.3311720499829017,0.2155315951225087,0.048516317712316,1.0,0.7931183589436489,0.7931183589436489,53
0,16,0.8,0.6668705479719446,0.04423186277787838,0.5896152803974328,0.7556405751623164,0.7278313857806114,0.7278313857806114,1
1,13,0.65,0.5508456822488186,0.04062295636373348,0.482433246760767,0.6220933259518682,0.6020263977312486,0.6020263977312486,1
2,113,5.65,0.09125607003895803,0.029427494927486336,0.0354296027629893,0.18862531587781275,0.13720655999917084,0.13720655999917084,6
3,25,1.25,0.10714861492222277,0.032011315892943565,0.0434862170765322,0.16557374325805702,0.14560981214036464,0.14560981214036464,2
4,28,1.4000000000000001,0.1114084744241017,0.02487360417554465,0.06559319692787209,0.16086300049336966,0.1541871575229782,0.1541871575229782,2
5,19,0.95,0.14139269996403292,0.01572294446882214,0.09581269113257951,0.17512971065416552,0.15688455366194748,0.15688455366194748,1
6,309,15.45,0.09930182215245996,0.034887874484599665,0.04744390455842273,0.22410079463684124,0.16973038191331263,0.16973038191331263,16
7,41,2.0500000000000003,0.18053156913567903,0.02761605945470451,0.11724534627807351,0.23226294820929547,0.22240987093216397,0.22240987093216397,2
8,287,14.35,0.07328190461428569,0.038945163896871825,0.007436406662747124,0.19617318767993513,0.14932936830283752,0.14932936830283752,15
9,88,4.3999999999999995,0.15686552701309478,0.05440351952139049,0.06360692318009196,0.2889014569746273,0.25308432567788147,0.25308432567788147,5
