scenario_id,type,label,n_drones,n_nodes,n_edges_seq,n_edges_prox,n_edges_cov,n_edges_total,mean_node_anomaly,max_node_anomaly,pattern_pred,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,hdbscan_cluster,type_weight_seq,type_weight_prox,type_weight_cov
OVLP_036,coverage_overlap,coverage_overlap,3,119,232,5966,0,6198,0.4973996579647064,0.4974305331707001,coverage_overlap,0.26284136163784616,0.34290898086808363,0.013448508362040545,0.22005055334719947,normal,1,0.33333334,0.33333334,0.33333334
OVLP_111,coverage_overlap,coverage_overlap,3,61,116,1768,62,1946,0.49740415811538696,0.4975750744342804,coverage_overlap,0.24541356721781482,0.48703275330144247,0.07725495280091255,0.2916136573261952,normal,0,0.33333334,0.33333334,0.33333334
RLAY_123,relay_move,normal,3,60,114,0,0,114,0.49747151136398315,0.4974842965602875,coverage_overlap,0.17612149077678096,0.22585857759324413,0.007589834381432614,0.14545682858476172,normal,2,0.33333334,0.33333334,0.33333334
RLAY_106,relay_move,normal,4,54,100,0,0,100,0.49745920300483704,0.4974972605705261,coverage_overlap,0.09900688109969567,0.07864345996007427,0.002668680018385691,0.06196005231945412,normal,2,0.33333334,0.33333334,0.33333334
CONF_008,collision_risk,collision_risk,3,29,52,214,0,266,0.49737483263015747,0.49743396043777466,coverage_overlap,0.2798251820155919,0.4232805826609387,0.06368113758764814,0.2723641289453475,normal,1,0.33333334,0.33333334,0.33333334
OVLP_066,coverage_overlap,coverage_overlap,5,98,186,6260,486,6932,0.49739447236061096,0.4975099563598633,coverage_overlap,0.2587003146424486,0.28000692999431986,0.017626880346438334,0.19490093049439405,normal,0,0.33333334,0.33333334,0.33333334
OVLP_047,coverage_overlap,coverage_overlap,4,126,244,6806,450,7500,0.497233510017395,0.49727362394332886,coverage_overlap,1.0,1.0,0.8316048321461555,0.9494814496438466,critical,-1,0.33333334,0.33333334,0.33333334
COOP_041,cooperative_search,normal,3,177,348,0,0,348,0.4974731504917145,0.49750152230262756,coverage_overlap,0.15402596134320165,0.25745860271617405,0.00717889707360654,0.15134489861151207,normal,2,0.33333334,0.33333334,0.33333334
CONF_083,collision_risk,collision_risk,3,50,94,264,24,382,0.49742263555526733,0.4975041151046753,coverage_overlap,0.24609493183609316,0.2502547511589297,0.040553058971251846,0.18609629770577538,normal,0,0.33333334,0.33333334,0.33333334
CONF_104,collision_risk,collision_risk,3,12,18,0,0,18,0.4974614083766937,0.4974873661994934,coverage_overlap,0.1420162437102461,0.2115157571010593,0.044040478808386345,0.14042331959601348,normal,2,0.33333334,0.33333334,0.33333334
RLAY_043,relay_move,normal,4,193,378,0,0,378,0.49743568897247314,0.49748310446739197,coverage_overlap,0.15020395658553398,0.20961698213961977,0.027600519978337592,0.13718813582500936,normal,2,0.33333334,0.33333334,0.33333334
RLAY_087,relay_move,normal,4,98,188,0,0,188,0.4974745213985443,0.4975067675113678,coverage_overlap,0.1483787360725023,0.27423411503924033,0.029083621397131335,0.16293235325658625,normal,2,0.33333334,0.33333334,0.33333334
COOP_021,cooperative_search,normal,3,300,594,0,0,594,0.4974426329135895,0.49747955799102783,coverage_overlap,0.0924597475526094,0.15678809803994953,0.048251726031690326,0.10492868129126973,normal,2,0.33333334,0.33333334,0.33333334
CONF_086,collision_risk,collision_risk,4,28,48,110,2,160,0.4973401427268982,0.4974367320537567,coverage_overlap,0.07058191925214093,0.17843470332195355,0.011279418025757467,0.09593228251215093,normal,0,0.33333334,0.33333334,0.33333334
CONF_051,collision_risk,collision_risk,4,27,46,0,0,46,0.4974381625652313,0.4974926710128784,coverage_overlap,0.10113226030105146,0.13557690441693593,0.09534954405070364,0.1131753030723009,normal,2,0.33333334,0.33333334,0.33333334
CONF_030,collision_risk,collision_risk,3,34,62,234,0,296,0.4974043369293213,0.49743613600730896,coverage_overlap,0.1324405716378715,0.26262557936136965,0.02954873149179852,0.15364702268344888,normal,1,0.33333334,0.33333334,0.33333334
COOP_069,cooperative_search,normal,5,100,190,0,0,190,0.49744856357574463,0.4975030720233917,coverage_overlap,0.09058348101417138,0.14378819440097745,0.07135821626728309,0.10609778694482733,normal,2,0.33333334,0.33333334,0.33333334
RLAY_066,relay_move,normal,4,270,532,8812,0,9344,0.49740922451019287,0.497458815574646,coverage_overlap,0.29595896793366455,0.32216033135970634,0.052794548153207194,0.23349018736994404,normal,1,0.33333334,0.33333334,0.33333334
COOP_081,cooperative_search,normal,4,124,240,0,0,240,0.4974620044231415,0.49748513102531433,coverage_overlap,0.10318248077788089,0.11284607898938381,0.0066601044759231716,0.07809120717189474,normal,2,0.33333334,0.33333334,0.33333334
CONF_110,collision_risk,collision_risk,3,34,62,312,0,374,0.497420996427536,0.49744996428489685,coverage_overlap,0.2219967571144153,0.2077341357683915,0.036558216830195674,0.1606601464907399,normal,1,0.33333334,0.33333334,0.33333334
RLAY_098,relay_move,normal,4,80,152,0,0,152,0.49744921922683716,0.4974972605705261,coverage_overlap,0.10589687653145875,0.12995978196215763,0.01427888546865992,0.08803664138489865,normal,2,0.33333334,0.33333334,0.33333334
RLAY_020,relay_move,normal,3,33,60,0,0,60,0.4974587857723236,0.4974907338619232,coverage_overlap,0.059726863812822724,0.04892730775083742,0.013606446502196117,0.04157091619484062,normal,2,0.33333334,0.33333334,0.33333334
CONF_022,collision_risk,collision_risk,4,49,90,280,0,370,0.4974108636379242,0.49745285511016846,coverage_overlap,0.13782286858618473,0.24769253282429737,0.0731383041331849,0.16236536494552983,normal,1,0.33333334,0.33333334,0.33333334
RLAY_026,relay_move,normal,4,90,172,434,0,606,0.49742448329925537,0.49745768308639526,coverage_overlap,0.2967622239402024,0.2857730317529449,0.04684608468948402,0.2173917052900839,normal,1,0.33333334,0.33333334,0.33333334
RLAY_005,relay_move,normal,3,80,154,0,0,154,0.49744701385498047,0.49747899174690247,coverage_overlap,0.1213832277781728,0.16765804607997303,0.018019895674706004,0.10888415546785286,normal,2,0.33333334,0.33333334,0.33333334
COOP_048,cooperative_search,normal,4,86,164,0,0,164,0.4974685609340668,0.49748146533966064,coverage_overlap,0.15970749203391757,0.16238873238896068,0.004554522979413356,0.11423409745958354,normal,2,0.33333334,0.33333334,0.33333334
CONF_007,collision_risk,collision_risk,4,127,246,48,0,294,0.4973982870578766,0.49745655059814453,coverage_overlap,0.2816431311715779,0.32637628654858974,0.03769859316822959,0.22635303192137815,normal,1,0.33333334,0.33333334,0.33333334
CONF_056,collision_risk,collision_risk,4,25,42,56,2,100,0.4974134862422943,0.4975051283836365,coverage_overlap,0.24390343273817586,0.22225435617020362,0.044363335077543864,0.17538177281279738,normal,0,0.33333334,0.33333334,0.33333334
COOP_061,cooperative_search,normal,4,48,88,0,0,88,0.49746039509773254,0.49747881293296814,coverage_overlap,0.11751204520270245,0.14569543934307616,0.03037646408533949,0.10264472852364305,normal,2,0.33333334,0.33333334,0.33333334
OVLP_122,coverage_overlap,coverage_overlap,3,46,86,1262,100,1448,0.4973719120025635,0.49748748540878296,coverage_overlap,0.3154710043562492,0.23908945214856125,0.02509832111696623,0.19780657850138914,normal,0,0.33333334,0.33333334,0.33333334
COOP_023,cooperative_search,normal,3,38,70,0,0,70,0.4974696934223175,0.49750199913978577,coverage_overlap,0.14614802293066861,0.2259905462226407,0.03402227182056297,0.14444730691442575,normal,2,0.33333334,0.33333334,0.33333334
CONF_062,collision_risk,collision_risk,3,23,40,104,0,144,0.49741408228874207,0.49745267629623413,coverage_overlap,0.1616709232780997,0.21882805667566252,0.031573309677401004,0.14550449255691522,normal,1,0.33333334,0.33333334,0.33333334
COOP_039,cooperative_search,normal,3,25,44,0,0,44,0.49746444821357727,0.4974907338619232,coverage_overlap,0.0878194037593683,0.12099619004264206,0.05472441335718668,0.09116162115202332,normal,2,0.33333334,0.33333334,0.33333334
CONF_029,collision_risk,collision_risk,4,24,40,94,0,134,0.49740996956825256,0.497443825006485,coverage_overlap,0.14374402437571346,0.2743162287690316,0.025934047641267045,0.1606299131127068,normal,1,0.33333334,0.33333334,0.33333334
COOP_077,cooperative_search,normal,5,44,78,0,0,78,0.4974522590637207,0.49747875332832336,coverage_overlap,0.0392226259950774,0.036136207061076675,0.030816692871860334,0.03546627848451199,normal,2,0.33333334,0.33333334,0.33333334
CONF_037,collision_risk,collision_risk,3,648,1290,6170,2042,9502,0.4972637891769409,0.4974176287651062,coverage_overlap,0.34216146365411554,0.5250147146488031,0.07507353464735231,0.3351763853499616,caution,0,0.33333334,0.33333334,0.33333334
CONF_060,collision_risk,collision_risk,4,38,68,192,36,296,0.49737924337387085,0.4974958002567291,coverage_overlap,0.2217487067656251,0.23138184460455902,0.04773041049860313,0.17339647302109207,normal,0,0.33333334,0.33333334,0.33333334
OVLP_030,coverage_overlap,coverage_overlap,5,113,216,6450,258,6924,0.4974719285964966,0.4975966513156891,coverage_overlap,0.2609351488304668,0.4218662826887798,0.020815980355171026,0.25327185183120327,normal,0,0.33333334,0.33333334,0.33333334
RLAY_006,relay_move,normal,4,130,252,0,0,252,0.49743980169296265,0.49749717116355896,coverage_overlap,0.13602723718475834,0.16750397547623996,0.016296100656009848,0.11269859154272645,normal,2,0.33333334,0.33333334,0.33333334
RLAY_082,relay_move,normal,3,42,78,0,0,78,0.49746599793434143,0.4974995255470276,coverage_overlap,0.05264362794652441,0.07810710747124294,0.01693926562553601,0.052117711060115306,normal,2,0.33333334,0.33333334,0.33333334
RLAY_102,relay_move,normal,4,116,224,0,0,224,0.4974612295627594,0.4974876046180725,coverage_overlap,0.11249892988736489,0.13929858773178083,0.005871958526775234,0.09123070161695437,normal,2,0.33333334,0.33333334,0.33333334
OVLP_079,coverage_overlap,coverage_overlap,4,93,178,2570,562,3310,0.49730467796325684,0.4974496066570282,coverage_overlap,0.23773140597269063,0.33234892844350106,0.04399137414186196,0.21745640541176617,normal,0,0.33333334,0.33333334,0.33333334
RLAY_089,relay_move,normal,4,42,76,0,0,76,0.4974544048309326,0.4974852502346039,coverage_overlap,0.05400265739939537,0.042041963172285146,0.04170148963157024,0.045528029378203744,normal,2,0.33333334,0.33333334,0.33333334
OVLP_110,coverage_overlap,coverage_overlap,3,162,318,2952,66,3336,0.4974522888660431,0.4975096583366394,coverage_overlap,0.44540638171589797,0.5555841803769493,0.15269316564285193,0.4016635363584047,caution,0,0.33333334,0.33333334,0.33333334
OVLP_114,coverage_overlap,coverage_overlap,5,243,476,20906,2618,24000,0.49748286604881287,0.4975271224975586,coverage_overlap,0.2074859857099175,0.36242142442956016,0.014862509162655753,0.21167311823359605,normal,0,0.33333334,0.33333334,0.33333334
OVLP_008,coverage_overlap,coverage_overlap,5,53,96,2094,332,2522,0.49734729528427124,0.497469425201416,coverage_overlap,0.12644976100994296,0.19175221251855346,0.009379254327139949,0.11744958960854628,normal,0,0.33333334,0.33333334,0.33333334
CONF_061,collision_risk,collision_risk,4,78,148,24,0,172,0.49739012122154236,0.497458279132843,coverage_overlap,0.15105302030988355,0.29386397686325383,0.0258510506154217,0.1706168120228931,normal,1,0.33333334,0.33333334,0.33333334
COOP_112,cooperative_search,normal,5,50,90,0,0,90,0.49745532870292664,0.49747875332832336,coverage_overlap,0.016049722299582462,0.014181990797948574,0.01668370458582081,0.015492824384800413,normal,2,0.33333334,0.33333334,0.33333334
COOP_094,cooperative_search,normal,5,78,146,0,0,146,0.4974570572376251,0.49748003482818604,coverage_overlap,0.10875083838248777,0.05597879869048439,0.008184075859008271,0.05747199374864257,normal,2,0.33333334,0.33333334,0.33333334
OVLP_024,coverage_overlap,coverage_overlap,4,98,188,716,14,918,0.4973631203174591,0.49742740392684937,coverage_overlap,0.273330010281953,0.3926775982059465,0.029712284454493764,0.24798372770331262,normal,0,0.33333334,0.33333334,0.33333334
CONF_102,collision_risk,collision_risk,3,109,212,180,0,392,0.4973700940608978,0.49744075536727905,coverage_overlap,0.42007868828610995,0.6486590315814671,0.04629454160907034,0.39937558160114084,caution,1,0.33333334,0.33333334,0.33333334
CONF_089,collision_risk,collision_risk,4,68,128,72,0,200,0.49738389253616333,0.4974585771560669,coverage_overlap,0.13246631443970452,0.33349055203098144,0.053818508702767935,0.18928166775513433,normal,1,0.33333334,0.33333334,0.33333334
COOP_024,cooperative_search,normal,3,12,18,0,0,18,0.4974583685398102,0.4974866509437561,coverage_overlap,0.0942737405042582,0.1288074003200782,0.005898139047326385,0.08157452399350666,normal,2,0.33333334,0.33333334,0.33333334
CONF_080,collision_risk,collision_risk,3,36,66,0,0,66,0.49743446707725525,0.4974709451198578,coverage_overlap,0.1586234187824819,0.24739258400978104,0.14098841090377146,0.1888405825097884,normal,2,0.33333334,0.33333334,0.33333334
OVLP_088,coverage_overlap,coverage_overlap,5,39,68,1054,148,1270,0.4974721372127533,0.49758073687553406,coverage_overlap,0.18908454376043643,0.34258907976303943,0.006572286458236873,0.19573268097081778,normal,0,0.33333334,0.33333334,0.33333334
CONF_101,collision_risk,collision_risk,4,94,180,140,12,332,0.49742257595062256,0.49749183654785156,coverage_overlap,0.1607885798163395,0.2884101411164849,0.05373929409346502,0.1797224186195353,normal,0,0.33333334,0.33333334,0.33333334
RLAY_024,relay_move,normal,3,217,428,5002,0,5430,0.497417688369751,0.49745774269104004,coverage_overlap,0.3276415343692075,0.33001986517414894,0.08430581586918312,0.2555921511411767,normal,1,0.33333334,0.33333334,0.33333334
COOP_029,cooperative_search,normal,3,82,158,0,0,158,0.49747705459594727,0.4974937438964844,coverage_overlap,0.16566207408694344,0.2532742339609668,0.019548484625549103,0.1568728611981345,normal,2,0.33333334,0.33333334,0.33333334
